Last Name,First Name,Username,Student ID,Last Access,Availability
Brown,James,xpto3,270070850,15/02/2019 12:01,Yes
Bond,James,xhr4,250864545,08/02/2019 18:00,Yes
Toop,Alexander,alt28,250864545,08/02/2019 18:00,Yes
Pollard,Mirza,mp12,250864546,09/02/2019 18:00,Yes
Mata,Diesel,alt30,250864547,10/02/2019 18:00,Yes
Forster,Reagan,alt31,250864548,11/02/2019 18:00,Yes
Leonard,Yousef,alt32,250864549,12/02/2019 18:00,Yes
Shields,Phebe,alt33,250864550,13/02/2019 18:00,Yes
Shaw,Chay,alt34,250864551,14/02/2019 18:00,Yes
Davie,Sharmin,alt35,250864552,15/02/2019 18:00,Yes
Reeve,Ella-Mae,alt36,250864553,16/02/2019 18:00,Yes
O'Brien,Tracy,alt37,250864554,17/02/2019 18:00,Yes
Stark,Haiden,alt38,250864555,18/02/2019 18:00,Yes
Hughie,Acosta,alt39,250864556,19/02/2019 18:00,Yes
Wright,Tahlia,alt40,250864557,20/02/2019 18:00,Yes
Stevenson,Keyaan,alt41,250864558,21/02/2019 18:00,Yes
Phelps,Dewi,alt42,250864559,22/02/2019 18:00,Yes
Searle,Ajay,alt43,250864560,23/02/2019 18:00,Yes
Senior,Leyla,alt44,250864561,24/02/2019 18:00,Yes
Schmidt,Vivek,alt45,250864562,25/02/2019 18:00,Yes
Randall,Maureen,alt46,250864563,26/02/2019 18:00,Yes
Duncan,Dimitri,alt47,250864564,27/02/2019 18:00,Yes
Bailey,Jane,alt48,250864565,28/02/2019 18:00,Yes
Currie,Antoine,alt49,250864566,01/03/2019 18:00,Yes
Francis,Tianna,alt50,250864567,02/03/2019 18:00,Yes
Fulton,Mclaughlin,alt51,250864568,03/03/2019 18:00,Yes
Whittle,Hana,alt52,250864569,04/03/2019 18:00,Yes
Moss,Ayrton,alt53,250864570,05/03/2019 18:00,Yes
Begum,Saoirse,alt54,250864571,06/03/2019 18:00,Yes
